use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W7P100.0,7,100.0,Linear Regression,2015/07/31,2015/07/25,6244,6244,1561,1561,0.10229289997369051,0.010091799777001143,1090.0725663187318,0.8413941852145139
W7P100.0,7,100.0,Decision Tree Regressor,2015/07/31,2015/07/25,6244,6244,1561,1561,0.2920974004082382,0.007930099964141846,1084.8231768932842,0.8493696135549225
W7P100.0,7,100.0,Lasso,2015/07/31,2015/07/25,6244,6244,1561,1561,0.0729636000469327,0.004594100173562765,1092.776107980315,0.8409946106665255
W7P100.0,7,100.0,Random Forest Regressor,2015/07/31,2015/07/25,6244,6244,1561,1561,1.3188617997802794,0.00816550012677908,886.2575272261371,0.8974882572263722
W7P100.0,7,100.0,Stacking Regressor,2015/07/31,2015/07/25,6244,6244,1561,1561,0.9110300997272134,0.006679699756205082,753.0327732519623,0.9253208305048746
W7P90.0,7,90.0,Linear Regression,2015/07/31,2015/07/25,5619,5619,1405,1405,0.034659200347959995,0.003215000033378601,1062.1091672491086,0.8463971955629198
W7P90.0,7,90.0,Decision Tree Regressor,2015/07/31,2015/07/25,5619,5619,1405,1405,0.11989959981292486,0.0037517999298870564,1092.0268356633685,0.8313992163805635
W7P90.0,7,90.0,Lasso,2015/07/31,2015/07/25,5619,5619,1405,1405,0.037194599863141775,0.004752399865537882,1063.682527733698,0.8458796332419978
W7P90.0,7,90.0,Random Forest Regressor,2015/07/31,2015/07/25,5619,5619,1405,1405,0.8395866001956165,0.007219499908387661,849.307900355872,0.9021432656210464
W7P90.0,7,90.0,Stacking Regressor,2015/07/31,2015/07/25,5619,5619,1405,1405,0.8526316001079977,0.004322899971157312,757.8654414416324,0.9278130413187908
W7P75.0,7,75.0,Linear Regression,2015/07/31,2015/07/25,4683,4683,1171,1171,0.02671230025589466,0.0036396002396941185,1059.4907325215706,0.8691553093032063
W7P75.0,7,75.0,Decision Tree Regressor,2015/07/31,2015/07/25,4683,4683,1171,1171,0.09423970011994243,0.003832099959254265,1134.2647105656094,0.8331507694290374
W7P75.0,7,75.0,Lasso,2015/07/31,2015/07/25,4683,4683,1171,1171,0.02416040003299713,0.00235249986872077,1063.7590151514296,0.8683645049935931
W7P75.0,7,75.0,Random Forest Regressor,2015/07/31,2015/07/25,4683,4683,1171,1171,0.6898386999964714,0.005355000030249357,928.2356105892399,0.8899912950533364
W7P75.0,7,75.0,Stacking Regressor,2015/07/31,2015/07/25,4683,4683,1171,1171,0.7191149997524917,0.007579399738460779,745.4135753347128,0.935764715335553
W7P50.0,7,50.0,Linear Regression,2015/07/31,2015/07/25,3121,3121,781,781,0.017647499684244394,0.0022966000251471996,1120.0060040037015,0.8403346580479192
W7P50.0,7,50.0,Decision Tree Regressor,2015/07/31,2015/07/25,3121,3121,781,781,0.060690900310873985,0.002619499806314707,1211.596549023048,0.8159721825155442
W7P50.0,7,50.0,Lasso,2015/07/31,2015/07/25,3121,3121,781,781,0.017351800110191107,0.002676599659025669,1120.3113196866384,0.8397744860792635
W7P50.0,7,50.0,Random Forest Regressor,2015/07/31,2015/07/25,3121,3121,781,781,0.3790539000183344,0.0037048999220132828,975.4016645326504,0.8817732330408233
W7P50.0,7,50.0,Stacking Regressor,2015/07/31,2015/07/25,3121,3121,781,781,0.480545099824667,0.004148500040173531,865.9259391605352,0.9087336732930585
W7P25.0,7,25.0,Linear Regression,2015/07/31,2015/07/25,1560,1560,391,391,0.012973600067198277,0.0017948001623153687,1010.0856131466667,0.8977682476035412
W7P25.0,7,25.0,Decision Tree Regressor,2015/07/31,2015/07/25,1560,1560,391,391,0.029691100120544434,0.0022065001539885998,1342.4779563999514,0.7877131321065289
W7P25.0,7,25.0,Lasso,2015/07/31,2015/07/25,1560,1560,391,391,0.01248549995943904,0.001677399966865778,1002.1748401441173,0.8986802899685741
W7P25.0,7,25.0,Random Forest Regressor,2015/07/31,2015/07/25,1560,1560,391,391,0.16143530001863837,0.0027890000492334366,968.9867007672633,0.8789411697885329
